name,description,x_mitre_platforms,x_mitre_domains,x_mitre_aliases,type,id
spwebmember,[spwebmember](https://attack.mitre.org/software/S0227) is a Microsoft SharePoint enumeration and data dumping tool written in .NET. (Citation: NCC Group APT15 Alive and Strong),['Windows'],['enterprise-attack'],['spwebmember'],tool,tool--33b9e38f-103c-412d-bdcf-904a91fff1e4
Empire,"[Empire](https://attack.mitre.org/software/S0363) is an open source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in pure [PowerShell](https://attack.mitre.org/techniques/T1059/001) for Windows and Python for Linux/macOS. [Empire](https://attack.mitre.org/software/S0363) was one of five tools singled out by a joint report on public hacking tools being widely used by adversaries.(Citation: NCSC Joint Report Public Tools)(Citation: Github PowerShell Empire)(Citation: GitHub ATTACK Empire)","['Linux', 'macOS', 'Windows']",['enterprise-attack'],"['Empire', 'EmPyre', 'PowerShell Empire']",tool,tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3
ifconfig,[ifconfig](https://attack.mitre.org/software/S0101) is a Unix-based utility used to gather information about and interact with the TCP/IP settings on a system. (Citation: Wikipedia Ifconfig),,['enterprise-attack'],,tool,tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5
dsquery,[dsquery](https://attack.mitre.org/software/S0105) is a command-line utility that can be used to query Active Directory for information from a system within a domain. (Citation: TechNet Dsquery) It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle.,['Windows'],['enterprise-attack'],"['dsquery', 'dsquery.exe']",tool,tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe
PcShare,"[PcShare](https://attack.mitre.org/software/S1050) is an open source remote access tool that has been modified and used by Chinese threat actors, most notably during the FunnyDream campaign since late 2018.(Citation: Bitdefender FunnyDream Campaign November 2020)(Citation: GitHub PcShare 2014)",['Windows'],['enterprise-attack'],['PcShare'],tool,tool--3a53b207-aba2-4a2b-9cdb-273d633669e7
RawDisk,"[RawDisk](https://attack.mitre.org/software/S0364) is a legitimate commercial driver from the EldoS Corporation that is used for interacting with files, disks, and partitions. The driver allows for direct modification of data on a local computer's hard drive. In some cases, the tool can enact these raw disk modifications from user-mode processes, circumventing Windows operating system security features.(Citation: EldoS RawDisk ITpro)(Citation: Novetta Blockbuster Destructive Malware)",['Windows'],['enterprise-attack'],['RawDisk'],tool,tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079
netstat,"[netstat](https://attack.mitre.org/software/S0104) is an operating system utility that displays active TCP connections, listening ports, and network statistics. (Citation: TechNet Netstat)",,['enterprise-attack'],['netstat'],tool,tool--4664b683-f578-434f-919b-1c1aad2a1111
PoshC2,"[PoshC2](https://attack.mitre.org/software/S0378) is an open source remote administration and post-exploitation framework that is publicly available on GitHub. The server-side components of the tool are primarily written in Python, while the implants are written in [PowerShell](https://attack.mitre.org/techniques/T1059/001). Although [PoshC2](https://attack.mitre.org/software/S0378) is primarily focused on Windows implantation, it does contain a basic Python dropper for Linux/macOS.(Citation: GitHub PoshC2)","['Windows', 'Linux', 'macOS']",['enterprise-attack'],['PoshC2'],tool,tool--4b57c098-f043-4da2-83ef-7588a6d426bc
Fgdump,[Fgdump](https://attack.mitre.org/software/S0120) is a Windows password hash dumper. (Citation: Mandiant APT1),['Windows'],['enterprise-attack'],['Fgdump'],tool,tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe
xCmd,[xCmd](https://attack.mitre.org/software/S0123) is an open source tool that is similar to [PsExec](https://attack.mitre.org/software/S0029) and allows the user to execute applications on remote systems. (Citation: xCmd),,['enterprise-attack'],,tool,tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b
CSPY Downloader,[CSPY Downloader](https://attack.mitre.org/software/S0527) is a tool designed to evade analysis and download additional payloads used by [Kimsuky](https://attack.mitre.org/groups/G0094).(Citation: Cybereason Kimsuky November 2020),['Windows'],['enterprise-attack'],['CSPY Downloader'],tool,tool--5256c0f8-9108-4c92-8b09-482dfacdcd94
Rclone,"[Rclone](https://attack.mitre.org/software/S1040) is a command line program for syncing files with cloud storage services such as Dropbox, Google Drive, Amazon S3, and MEGA. [Rclone](https://attack.mitre.org/software/S1040) has been used in a number of ransomware campaigns, including those associated with the [Conti](https://attack.mitre.org/software/S0575) and DarkSide Ransomware-as-a-Service operations.(Citation: Rclone)(Citation: Rclone Wars)(Citation: Detecting Rclone)(Citation: DarkSide Ransomware Gang)(Citation: DFIR Conti Bazar Nov 2021)","['Linux', 'Windows', 'macOS']",['enterprise-attack'],['Rclone'],tool,tool--59096109-a1dd-463b-87e7-a8d110fe3a79
MimiPenguin,"[MimiPenguin](https://attack.mitre.org/software/S0179) is a credential dumper, similar to [Mimikatz](https://attack.mitre.org/software/S0002), designed specifically for Linux platforms. (Citation: MimiPenguin GitHub May 2017)",['Linux'],['enterprise-attack'],['MimiPenguin'],tool,tool--5a33468d-844d-4b1f-98c9-0e786c556b27
netsh,[netsh](https://attack.mitre.org/software/S0108) is a scripting utility used to interact with networking components on local or remote systems. (Citation: TechNet Netsh),['Windows'],['enterprise-attack'],"['netsh', 'netsh.exe']",tool,tool--5a63f900-5e7e-4928-a746-dd4558e1df71
CARROTBALL,[CARROTBALL](https://attack.mitre.org/software/S0465) is an FTP downloader utility that has been in use since at least 2019. [CARROTBALL](https://attack.mitre.org/software/S0465) has been used as a downloader to install [SYSCON](https://attack.mitre.org/software/S0464).(Citation: Unit 42 CARROTBAT January 2020),['Windows'],['enterprise-attack'],['CARROTBALL'],tool,tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4
BITSAdmin,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),['Windows'],['enterprise-attack'],['BITSAdmin'],tool,tool--64764dc6-a032-495f-8250-1e4c06bdc163
meek,[meek](https://attack.mitre.org/software/S0175) is an open-source Tor plugin that tunnels Tor traffic through HTTPS connections.,"['Linux', 'Windows', 'macOS']",['enterprise-attack'],['meek'],tool,tool--65370d0b-3bd4-4653-8cf9-daf56f6be830
AsyncRAT,[AsyncRAT](https://attack.mitre.org/software/S1087) is an open-source remote access tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns.(Citation: Morphisec Snip3 May 2021)(Citation: Cisco Operation Layover September 2021)(Citation: Telefonica Snip3 December 2021),['Windows'],['enterprise-attack'],['AsyncRAT'],tool,tool--6a5947f3-1a36-4653-8734-526df3e1d28d
ROADTools,[ROADTools](https://attack.mitre.org/software/S0684) is a framework for enumerating Azure Active Directory environments. The tool is written in Python and publicly available on GitHub.(Citation: ROADtools Github),,['enterprise-attack'],['ROADTools'],tool,tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d
Brute Ratel C4,"[Brute Ratel C4](https://attack.mitre.org/software/S1063) is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020. [Brute Ratel C4](https://attack.mitre.org/software/S1063) was specifically designed to avoid detection by endpoint detection and response (EDR) and antivirus (AV) capabilities, and deploys agents called badgers to enable arbitrary command execution for lateral movement, privilege escalation, and persistence. In September 2022, a cracked version of [Brute Ratel C4](https://attack.mitre.org/software/S1063) was leaked in the cybercriminal underground, leading to its use by threat actors.(Citation: Dark Vortex Brute Ratel C4)(Citation: Palo Alto Brute Ratel July 2022)(Citation: MDSec Brute Ratel August 2022)(Citation: SANS Brute Ratel October 2022)(Citation: Trend Micro Black Basta October 2022)",['Windows'],['enterprise-attack'],"['Brute Ratel C4', 'BRc4']",tool,tool--75d8b521-6b6a-42ff-8af3-d97e20ce12a5
Peirates,[Peirates](https://attack.mitre.org/software/S0683) is a post-exploitation Kubernetes exploitation framework with a focus on gathering service account tokens for lateral movement and privilege escalation. The tool is written in GoLang and publicly available on GitHub.(Citation: Peirates GitHub),['Containers'],['enterprise-attack'],['Peirates'],tool,tool--79dd477a-8226-4b3d-ad15-28623675f221
Remcos,[Remcos](https://attack.mitre.org/software/S0332) is a closed-source tool that is marketed as a remote control and surveillance software by a company called Breaking Security. [Remcos](https://attack.mitre.org/software/S0332) has been observed being used in malware campaigns.(Citation: Riskiq Remcos Jan 2018)(Citation: Talos Remcos Aug 2018),['Windows'],['enterprise-attack'],['Remcos'],tool,tool--7cd0bc75-055b-4098-a00e-83dc8beaff14
Systeminfo,[Systeminfo](https://attack.mitre.org/software/S0096) is a Windows utility that can be used to gather detailed information about a computer. (Citation: TechNet Systeminfo),,['enterprise-attack'],['Systeminfo'],tool,tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1
Out1,[Out1](https://attack.mitre.org/software/S0594) is a remote access tool written in python and used by [MuddyWater](https://attack.mitre.org/groups/G0069) since at least 2021.(Citation: Trend Micro Muddy Water March 2021),['Windows'],['enterprise-attack'],['Out1'],tool,tool--80c815bb-b24a-4b9c-9d73-ff4c075a278d
ConnectWise,[ConnectWise](https://attack.mitre.org/software/S0591) is a legitimate remote administration tool that has been used since at least 2016 by threat actors including [MuddyWater](https://attack.mitre.org/groups/G0069) and [GOLD SOUTHFIELD](https://attack.mitre.org/groups/G0115) to connect to and conduct lateral movement in target environments.(Citation: Anomali Static Kitten February 2021)(Citation: Trend Micro Muddy Water March 2021),['Windows'],['enterprise-attack'],"['ConnectWise', 'ScreenConnect']",tool,tool--842976c7-f9c8-41b2-8371-41dc64fbe261
Imminent Monitor,"[Imminent Monitor](https://attack.mitre.org/software/S0434) was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation.(Citation: Imminent Unit42 Dec2019)",['Windows'],['enterprise-attack'],['Imminent Monitor'],tool,tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9
Ruler,"[Ruler](https://attack.mitre.org/software/S0358) is a tool to abuse Microsoft Exchange services. It is publicly available on GitHub and the tool is executed via the command line. The creators of [Ruler](https://attack.mitre.org/software/S0358) have also released a defensive tool, NotRuler, to detect its usage.(Citation: SensePost Ruler GitHub)(Citation: SensePost NotRuler)","['Windows', 'Office 365']",['enterprise-attack'],['Ruler'],tool,tool--90ac9266-68ce-46f2-b24f-5eb3b2a8ea38
Forfiles,"[Forfiles](https://attack.mitre.org/software/S0193) is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. (Citation: Microsoft Forfiles Aug 2016)",,['enterprise-attack'],,tool,tool--90ec2b22-7061-4469-b539-0989ec4f96c2
Winexe,"[Winexe](https://attack.mitre.org/software/S0191) is a lightweight, open source tool similar to [PsExec](https://attack.mitre.org/software/S0029) designed to allow system administrators to execute commands on remote servers. (Citation: Winexe Github Sept 2013) [Winexe](https://attack.mitre.org/software/S0191) is unique in that it is a GNU/Linux based client. (Citation: Überwachung APT28 Forfiles June 2015)",,['enterprise-attack'],,tool,tool--96fd6cc4-a693-4118-83ec-619e5352d07d
MCMD,[MCMD](https://attack.mitre.org/software/S0500) is a remote access tool that provides remote command shell capability used by [Dragonfly 2.0](https://attack.mitre.org/groups/G0074).(Citation: Secureworks MCMD July 2019),['Windows'],['enterprise-attack'],['MCMD'],tool,tool--975737f1-b10d-476f-8bda-3ec26ea57172
Nltest,[Nltest](https://attack.mitre.org/software/S0359) is a Windows command-line utility used to list domain controllers and enumerate domain trusts.(Citation: Nltest Manual),['Windows'],['enterprise-attack'],['Nltest'],tool,tool--981acc4c-2ede-4b56-be6e-fa1a75f37acf
MailSniper,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used by a non-administrative user to search their own email, or by an Exchange administrator to search the mailboxes of every user in a domain.(Citation: GitHub MailSniper)","['Office 365', 'Windows', 'Azure AD']",['enterprise-attack'],['MailSniper'],tool,tool--999c4e6e-b8dc-4b4f-8d6e-1b829f29997e
sqlmap,[sqlmap](https://attack.mitre.org/software/S0225) is an open source penetration testing tool that can be used to automate the process of detecting and exploiting SQL injection flaws. (Citation: sqlmap Introduction),,['enterprise-attack'],,tool,tool--9a2640c2-9f43-46fe-b13f-bde881e55555
pwdump,[pwdump](https://attack.mitre.org/software/S0006) is a credential dumper. (Citation: Wikipedia pwdump),['Windows'],['enterprise-attack'],['pwdump'],tool,tool--9de2308e-7bed-43a3-8e58-f194b3586700
Responder,"Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. (Citation: GitHub Responder)",,['enterprise-attack'],['Responder'],tool,tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719
Pass-The-Hash Toolkit,"[Pass-The-Hash Toolkit](https://attack.mitre.org/software/S0122) is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. (Citation: Mandiant APT1)",,['enterprise-attack'],,tool,tool--a52edc76-328d-4596-85e7-d56ef5a9eb69
Donut,[Donut](https://attack.mitre.org/software/S0695) is an open source framework used to generate position-independent shellcode.(Citation: Donut Github)(Citation: Introducing Donut) [Donut](https://attack.mitre.org/software/S0695) generated code has been used by multiple threat actors to inject and load malicious payloads into memory.(Citation: NCC Group WastedLocker June 2020),['Windows'],['enterprise-attack'],['Donut'],tool,tool--a7b5df47-73bb-4d47-b701-869f185633a6
Mimikatz,"[Mimikatz](https://attack.mitre.org/software/S0002) is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks. (Citation: Deply Mimikatz) (Citation: Adsecurity Mimikatz Guide)",['Windows'],['enterprise-attack'],['Mimikatz'],tool,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60
gsecdump,[gsecdump](https://attack.mitre.org/software/S0008) is a publicly-available credential dumper used to obtain password hashes and LSA secrets from Windows operating systems. (Citation: TrueSec Gsecdump),['Windows'],['enterprise-attack'],['gsecdump'],tool,tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54
IronNetInjector,[IronNetInjector](https://attack.mitre.org/software/S0581) is a [Turla](https://attack.mitre.org/groups/G0010) toolchain that utilizes scripts from the open-source IronPython implementation of Python with a .NET injector to drop one or more payloads including [ComRAT](https://attack.mitre.org/software/S0126).(Citation: Unit 42 IronNetInjector February 2021 ),['Windows'],['enterprise-attack'],['IronNetInjector'],tool,tool--b1595ddd-a783-482a-90e1-8afc8d48467e
nbtstat,[nbtstat](https://attack.mitre.org/software/S0102) is a utility used to troubleshoot NetBIOS name resolution. (Citation: TechNet Nbtstat),,['enterprise-attack'],,tool,tool--b35068ec-107a-4266-bda8-eb7036267aea
Invoke-PSImage,"[Invoke-PSImage](https://attack.mitre.org/software/S0231) takes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords. (Citation: GitHub Invoke-PSImage)",,['enterprise-attack'],['Invoke-PSImage'],tool,tool--b52d6583-14a2-4ddc-8527-87fd2142558f
NBTscan,[NBTscan](https://attack.mitre.org/software/S0590) is an open source tool that has been used by state groups to conduct internal reconnaissance within a compromised network.(Citation: Debian nbtscan Nov 2019)(Citation: SecTools nbtscan June 2003)(Citation: Symantec Waterbug Jun 2019)(Citation: FireEye APT39 Jan 2019),"['Windows', 'Linux', 'macOS']",['enterprise-attack'],['NBTscan'],tool,tool--b63970b7-ddfb-4aee-97b1-80d335e033a8
LaZagne,"[LaZagne](https://attack.mitre.org/software/S0349) is a post-exploitation, open-source tool used to recover stored passwords on a system. It has modules for Windows, Linux, and OSX, but is mainly focused on Windows systems. [LaZagne](https://attack.mitre.org/software/S0349) is publicly available on GitHub.(Citation: GitHub LaZagne Dec 2018)","['Linux', 'macOS', 'Windows']",['enterprise-attack'],['LaZagne'],tool,tool--b76b2d94-60e4-4107-a903-4a3a7622fb3b
Ping,[Ping](https://attack.mitre.org/software/S0097) is an operating system utility commonly used to troubleshoot and verify network connections. (Citation: TechNet Ping),,['enterprise-attack'],['Ping'],tool,tool--b77b563c-34bb-4fb8-86a3-3694338f7b47
cmd,"[cmd](https://attack.mitre.org/software/S0106) is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities. (Citation: TechNet Cmd)

Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g., <code>dir</code> (Citation: TechNet Dir)), deleting files (e.g., <code>del</code> (Citation: TechNet Del)), and copying files (e.g., <code>copy</code> (Citation: TechNet Copy)).",['Windows'],['enterprise-attack'],"['cmd', 'cmd.exe']",tool,tool--bba595da-b73a-4354-aa6c-224d4de7cb4e
route,[route](https://attack.mitre.org/software/S0103) can be used to find or change information within the local system IP routing table. (Citation: TechNet Route),,['enterprise-attack'],,tool,tool--c11ac61d-50f4-444f-85d8-6f006067f0de
esentutl,[esentutl](https://attack.mitre.org/software/S0404) is a command-line tool that provides database utilities for the Windows Extensible Storage Engine.(Citation: Microsoft Esentutl),['Windows'],['enterprise-attack'],"['esentutl', 'esentutl.exe']",tool,tool--c256da91-6dd5-40b2-beeb-ee3b22ab3d27
CrackMapExec,"[CrackMapExec](https://attack.mitre.org/software/S0488), or CME, is a post-exploitation tool developed in Python and designed for penetration testing against networks. [CrackMapExec](https://attack.mitre.org/software/S0488) collects Active Directory information to conduct lateral movement through targeted networks.(Citation: CME Github September 2018)",['Windows'],['enterprise-attack'],['CrackMapExec'],tool,tool--c4810609-7da6-48ec-8057-1b70a7814db0
Koadic,"[Koadic](https://attack.mitre.org/software/S0250) is a Windows post-exploitation framework and penetration testing tool that is publicly available on GitHub. [Koadic](https://attack.mitre.org/software/S0250) has several options for staging payloads and creating implants, and performs most of its operations using Windows Script Host.(Citation: Github Koadic)(Citation: Palo Alto Sofacy 06-2018)(Citation: MalwareBytes LazyScripter Feb 2021)",['Windows'],['enterprise-attack'],['Koadic'],tool,tool--c8655260-9f4b-44e3-85e1-6538a5f6e4f4
schtasks,[schtasks](https://attack.mitre.org/software/S0111) is used to schedule execution of programs or scripts on a Windows system to run at a specific date and time. (Citation: TechNet Schtasks),['Windows'],['enterprise-attack'],"['schtasks', 'schtasks.exe']",tool,tool--c9703cd3-141c-43a0-a926-380082be5d04
Cachedump,[Cachedump](https://attack.mitre.org/software/S0119) is a publicly-available tool that program extracts cached password hashes from a system’s registry. (Citation: Mandiant APT1),['Windows'],['enterprise-attack'],['Cachedump'],tool,tool--c9cd7ec9-40b7-49db-80be-1399eddd9c52
Expand,[Expand](https://attack.mitre.org/software/S0361) is a Windows utility used to expand one or more compressed CAB files.(Citation: Microsoft Expand Utility) It has been used by [BBSRAT](https://attack.mitre.org/software/S0127) to decompress a CAB file into executable content.(Citation: Palo Alto Networks BBSRAT),['Windows'],['enterprise-attack'],['Expand'],tool,tool--ca656c25-44f1-471b-9d9f-e2a3bbb84973
Pupy,"[Pupy](https://attack.mitre.org/software/S0192) is an open source, cross-platform (Windows, Linux, OSX, Android) remote administration and post-exploitation tool. (Citation: GitHub Pupy) It is written in Python and can be generated as a payload in several different ways (Windows exe, Python file, PowerShell oneliner/file, Linux elf, APK, Rubber Ducky, etc.). (Citation: GitHub Pupy) [Pupy](https://attack.mitre.org/software/S0192) is publicly available on GitHub. (Citation: GitHub Pupy)","['Linux', 'Windows', 'macOS', 'Android']",['enterprise-attack'],['Pupy'],tool,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4
Reg,"[Reg](https://attack.mitre.org/software/S0075) is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. (Citation: Microsoft Reg)

Utilities such as [Reg](https://attack.mitre.org/software/S0075) are known to be used by persistent threats. (Citation: Windows Commands JPCERT)",['Windows'],['enterprise-attack'],"['Reg', 'reg.exe']",tool,tool--cde2d700-9ed1-46cf-9bce-07364fe8b24f
ftp,[ftp](https://attack.mitre.org/software/S0095) is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data.(Citation: Microsoft FTP)(Citation: Linux FTP),"['Linux', 'Windows', 'macOS']",['enterprise-attack'],"['ftp', 'ftp.exe']",tool,tool--cf23bf4a-e003-4116-bbae-1ea6c558d565
